:START_ID,:END_ID,:TYPE,content,forward_num,comment_num,like_num
entity0,entity1,forward,http://t.cn/A6xAcwv4。??,0,0,0.0
entity0,entity985,forward,http://t.cn/A6xAcwv4。??,0,0,0.0
entity0,entity1,backward,http://t.cn/A6xAcwv4。??,0,0,0.0
entity114,entity1,backward,http://t.cn/A6xAcwv4。??,0,0,0.0
entity2,entity3,forward,【教育部：#全面落实免试就近入学全覆盖#】请记住，高考才是最终的指挥棒！,0,0,0.0
entity3,entity2,backward,会不会将来大学也就近入学？,1,1,0.0
entity3,entity2,forward,会不会将来大学也就近入学？,1,1,0.0
entity2,entity3,backward,【教育部：#全面落实免试就近入学全覆盖#】请记住，高考才是最终的指挥棒！,0,0,0.0
entity4,entity5,forward,？？？？？？,0,0,0.0
entity4,entity5,backward,？？？？？？,0,0,0.0
entity415,entity5,backward,去狗是不是有病,1,0,0.0
entity420,entity5,backward,你为什么骂人家[doge],0,0,0.0
entity550,entity5,backward,我真服了 你是不是不会用手机,0,0,0.0
entity803,entity5,backward,哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈逆子！,0,0,0.0
entity983,entity5,backward,我服了 会不会用手机,0,0,0.0
entity1087,entity5,backward,,0,2,2.0
entity1152,entity5,backward,哥虽然你走错了 但我也很激动[悲伤][悲伤][悲伤][悲伤][悲伤],0,0,0.0
entity1195,entity5,backward,你是不是有毛病,0,0,0.0
entity6,entity7,forward,女主可以因为男主耽误高考、耽误保研、放弃更好的学校、当多年泡友求名分、跳楼，但不可以抛弃男主有自己的人生,1,0,0.0
entity6,entity8,forward,女主可以因为男主耽误高考、耽误保研、放弃更好的学校、当多年泡友求名分、跳楼，但不可以抛弃男主有自己的人生,0,0,4.0
entity6,entity729,forward,可以写被男主耽误高考耽误保研的卑微女主，但是不敢写让男主可望不可及的优秀女主。,0,0,0.0
entity7,entity8,forward,????我狠狠地吐了,1,0,0.0
entity6,entity7,backward,女主可以因为男主耽误高考、耽误保研、放弃更好的学校、当多年泡友求名分、跳楼，但不可以抛弃男主有自己的人生,1,0,0.0
entity7,entity8,backward,????我狠狠地吐了,1,0,0.0
entity6,entity8,backward,女主可以因为男主耽误高考、耽误保研、放弃更好的学校、当多年泡友求名分、跳楼，但不可以抛弃男主有自己的人生,0,0,4.0
entity9,entity10,forward,http://t.cn/A6xAUCe2? ,0,0,0.0
entity9,entity10,backward,http://t.cn/A6xAUCe2? ,0,0,0.0
entity51,entity10,backward,,0,0,0.0
entity623,entity10,backward,w,0,0,0.0
entity828,entity10,backward,,0,0,0.0
entity832,entity10,backward,,0,0,0.0
entity623,entity10,backward,g,0,0,0.0
entity1021,entity10,backward,,0,0,0.0
entity11,entity12,forward,[拳头],0,0,0.0
entity146,entity11,backward,http://t.cn/A6x23jMY [挤眼],0,0,0.0
